School Name,Mean Earnings (10 Yrs after Entry)
Pontifical Catholic University of Puerto Rico-Mayaguez,21400.0
National American University-Ellsworth AFB Extension,39500.0
University of La Verne,52700.0
Knox College,43500.0
Albizu University-Miami,34000.0
Gardner-Webb University,41600.0
Sam Houston State University,49700.0
South University-Richmond,40200.0
Morgan State University,42600.0
University of Memphis,43200.0
CUNY John Jay College of Criminal Justice,50000.0
Walla Walla University,50900.0
St. John's College,41400.0
Clarkson University,74200.0
College of Our Lady of the Elms,49600.0
Epic Bible College & Graduate School,32600.0
Grace College and Theological Seminary,37500.0
Abilene Christian University,48900.0
Houston Baptist University,52300.0
Georgetown College,50500.0
Strayer University-Virginia,53500.0
Whitworth University-Adult Degree Programs,48000.0
William Peace University,36900.0
Houghton College,42400.0
Stony Brook University,62600.0
Central Michigan University,46200.0
Anna Maria College,48100.0
Boston College,92500.0
Marquette University,70700.0
Johnson & Wales University-Providence,42200.0
California Institute of Technology,106300.0
University of Wisconsin-Eau Claire,50300.0
Randolph College,41500.0
West Coast University-Orange County,67700.0
Park University,50800.0
Saint Edward's University,55700.0
Thomas Edison State University,57300.0
Franklin University,53800.0
University of Minnesota-Morris,44400.0
American University of Health Sciences,37800.0
Lipscomb University,51500.0
Utica University,48600.0
Maranatha Baptist University,38700.0
Texas Wesleyan University,44400.0
Georgia Southern University,46100.0
University of Arkansas,52700.0
Cedarville University,46800.0
Judson University,47200.0
Randolph-Macon College,54800.0
Nichols College,53500.0
University of the Incarnate Word,52500.0
University of Wisconsin-Madison,68000.0
Massachusetts Maritime Academy,96000.0
Worcester Polytechnic Institute,84600.0
University of Nebraska at Omaha,49300.0
McMurry University,46400.0
The University of Texas at San Antonio,49600.0
Universidad Ana G. Mendez-Gurabo Campus,24000.0
Troy University,41100.0
Eastern Mennonite University,44700.0
Bryant University,77600.0
Governors State University,44000.0
University of California-Santa Barbara,62400.0
Florida Gulf Coast University,45800.0
Marshall University,41700.0
Bethany College,44200.0
Palmer College of Chiropractic,53600.0
Claremont McKenna College,93200.0
Springfield College-Regional Online and Continuing Education,48500.0
DePauw University,66100.0
Wheeling University,49600.0
Morehouse College,49000.0
Faulkner University,40700.0
Central College,48400.0
Georgian Court University,43600.0
Bowie State University,48700.0
Stevenson University,54600.0
Bastyr University,44500.0
Stephens College,41000.0
University of Colorado Colorado Springs,49300.0
Southern New Hampshire University,50200.0
University of New Haven,54600.0
Fort Lewis College,39400.0
National Louis University,50800.0
Adams State University,38100.0
North Carolina A & T State University,39300.0
St. Mary's College of Maryland,55200.0
Lock Haven University,43400.0
Georgia Institute of Technology-Main Campus,85900.0
Ozark Christian College,33900.0
University of Wisconsin-Green Bay,44500.0
South University-Tampa,40200.0
United Talmudical Seminary,26100.0
University of Lynchburg,48800.0
National University,59000.0
Rhode Island College,43900.0
Carroll University,47000.0
University of Southern Mississippi,42700.0
Herzing University-Minneapolis,41600.0
Chestnut Hill College,46800.0
Iowa Wesleyan University,39900.0
Manhattan School of Music,40700.0
Dominican University of California,63600.0
Messiah University,50500.0
Chamberlain University-Indiana,60400.0
Texas State University,51100.0
Ottawa University-Online,48100.0
Central Methodist University-College of Liberal Arts and Sciences,39500.0
University of the Pacific,84200.0
University of Notre Dame,98400.0
Morehead State University,37000.0
Benedict College,27300.0
Texas A&M University-Texarkana,39200.0
Art Academy of Cincinnati,30100.0
Transylvania University,50100.0
SUNY Brockport,45500.0
Columbia University in the City of New York,115600.0
Pontifical Catholic University of Puerto Rico-Ponce,21400.0
Lawrence Technological University,60500.0
Ramapo College of New Jersey,56300.0
Metropolitan State University,51700.0
University of Rhode Island,58400.0
Lakeland University,45100.0
Angelo State University,46300.0
Northwest University,46300.0
Rabbinical College of Ohr Shimon Yisroel,20000.0
Ringling College of Art and Design,43100.0
Southern Methodist University,77900.0
Universidad Adventista de las Antillas,27300.0
Guilford College,39500.0
Tabor College,45500.0
Gonzaga University,63800.0
California State University-East Bay,58200.0
Miami University-Hamilton,55400.0
Lewis-Clark State College,38200.0
Friends University,46900.0
Embry-Riddle Aeronautical University-Worldwide,70300.0
Five Towns College,40100.0
McKendree University,50200.0
Fisk University,36300.0
Purdue University Fort Wayne,39800.0
High Point University,42900.0
Eureka College,40500.0
Central Yeshiva Tomchei Tmimim Lubavitz,37100.0
Fisher College,39600.0
Saint Michael's College,57800.0
University of North Carolina at Charlotte,50300.0
University of San Diego,71100.0
University of Wisconsin-Milwaukee,48200.0
Mount Saint Mary's University,63500.0
University of Pikeville,39000.0
University of Minnesota-Crookston,49100.0
University of Wyoming,54200.0
Walden University,62500.0
Colorado Technical University-Colorado Springs,51300.0
Azusa Pacific University,55900.0
Central Connecticut State University,51600.0
Central Methodist University-College of Graduate and Extended Studies,39500.0
Nova Southeastern University,55600.0
Saint Mary-of-the-Woods College,31900.0
California Aeronautical University,33400.0
Rabbinical College Bobover Yeshiva Bnei Zion,32700.0
North Carolina Central University,35300.0
